plant,Tomatrio
variant_title,(5x) Neon Tomatrio ALL Damage Numbers
multiplier,5.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,22500,33750,45000,56250,67500,78750,90000,101250,112500,123750
1.1,24750,37125,49500,61875,74250,86625,99000,111375,123750,136125
1.2,27000,40500,54000,67500,81000,94500,108000,121500,135000,148500
1.3,29250,43875,58500,73125,87750,102375,117000,131625,146250,160875
1.4,31500,47250,63000,78750,94500,110250,126000,141750,157500,173250
1.5,33750,50625,67500,84375,101250,118125,135000,151875,168750,185625
1.6,36000,54000,72000,90000,108000,126000,144000,162000,180000,198000
1.7,38250,57375,76500,95625,114750,133875,153000,172125,191250,210375
1.8,40500,60750,81000,101250,121500,141750,162000,182250,202500,222750
1.9,42750,64125,85500,106875,128250,149625,171000,192375,213750,235125
2,45000,67500,90000,112500,135000,157500,180000,202500,225000,247500
2.1,47250,70875,94500,118125,141750,165375,189000,212625,236250,259875
2.2,49500,74250,99000,123750,148500,173250,198000,222750,247500,272250
2.3,51750,77625,103500,129375,155250,181125,207000,232875,258750,284625
2.4,54000,81000,108000,135000,162000,189000,216000,243000,270000,297000
2.5,56250,84375,112500,140625,168750,196875,225000,253125,281250,309375
2.6,58500,87750,117000,146250,175500,204750,234000,263250,292500,321750
2.7,60750,91125,121500,151875,182250,212625,243000,273375,303750,334125
2.8,63000,94500,126000,157500,189000,220500,252000,283500,315000,346500
2.9,65250,97875,130500,163125,195750,228375,261000,293625,326250,358875
3,67500,101250,135000,168750,202500,236250,270000,303750,337500,371250
3.1,69750,104625,139500,174375,209250,244125,279000,313875,348750,383625
3.2,72000,108000,144000,180000,216000,252000,288000,324000,360000,396000
3.3,74250,111375,148500,185625,222750,259875,297000,334125,371250,408375
3.4,76500,114750,153000,191250,229500,267750,306000,344250,382500,420750
3.5,78750,118125,157500,196875,236250,275625,315000,354375,393750,433125
3.6,81000,121500,162000,202500,243000,283500,324000,364500,405000,445500
3.7,83250,124875,166500,208125,249750,291375,333000,374625,416250,457875
3.8,85500,128250,171000,213750,256500,299250,342000,384750,427500,470250
3.9,87750,131625,175500,219375,263250,307125,351000,394875,438750,482625
4,90000,135000,180000,225000,270000,315000,360000,405000,450000,495000
4.1,92250,138375,184500,230625,276750,322875,369000,415125,461250,507375
4.2,94500,141750,189000,236250,283500,330750,378000,425250,472500,519750
4.3,96750,145125,193500,241875,290250,338625,387000,435375,483750,532125
4.4,99000,148500,198000,247500,297000,346500,396000,445500,495000,544500
4.5,101250,151875,202500,253125,303750,354375,405000,455625,506250,556875
4.6,103500,155250,207000,258750,310500,362250,414000,465750,517500,569250
4.7,105750,158625,211500,264375,317250,370125,423000,475875,528750,581625
4.8,108000,162000,216000,270000,324000,378000,432000,486000,540000,594000
4.9,110250,165375,220500,275625,330750,385875,441000,496125,551250,606375
5,112500,168750,225000,281250,337500,393750,450000,506250,562500,618750
5.1,114750,172125,229500,286875,344250,401625,459000,516375,573750,631125
5.2,117000,175500,234000,292500,351000,409500,468000,526500,585000,643500
5.3,119250,178875,238500,298125,357750,417375,477000,536625,596250,655875
5.4,121500,182250,243000,303750,364500,425250,486000,546750,607500,668250
5.5,123750,185625,247500,309375,371250,433125,495000,556875,618750,680625
5.6,126000,189000,252000,315000,378000,441000,504000,567000,630000,693000
5.7,128250,192375,256500,320625,384750,448875,513000,577125,641250,705375
5.8,130500,195750,261000,326250,391500,456750,522000,587250,652500,717750
5.9,132750,199125,265500,331875,398250,464625,531000,597375,663750,730125
