plant,Watermelon
variant_title,(2x) Gold/Foggy/Electrified/Scorched Watermelon ALL Damage Numbers
multiplier,2.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000
1.1,2200,3300,4400,5500,6600,7700,8800,9900,11000,12100
1.2,2400,3600,4800,6000,7200,8400,9600,10800,12000,13200
1.3,2600,3900,5200,6500,7800,9100,10400,11700,13000,14300
1.4,2800,4200,5600,7000,8400,9800,11200,12600,14000,15400
1.5,3000,4500,6000,7500,9000,10500,12000,13500,15000,16500
1.6,3200,4800,6400,8000,9600,11200,12800,14400,16000,17600
1.7,3400,5100,6800,8500,10200,11900,13600,15300,17000,18700
1.8,3600,5400,7200,9000,10800,12600,14400,16200,18000,19800
1.9,3800,5700,7600,9500,11400,13300,15200,17100,19000,20900
2,4000,6000,8000,10000,12000,14000,16000,18000,20000,22000
2.1,4200,6300,8400,10500,12600,14700,16800,18900,21000,23100
2.2,4400,6600,8800,11000,13200,15400,17600,19800,22000,24200
2.3,4600,6900,9200,11500,13800,16100,18400,20700,23000,25300
2.4,4800,7200,9600,12000,14400,16800,19200,21600,24000,26400
2.5,5000,7500,10000,12500,15000,17500,20000,22500,25000,27500
2.6,5200,7800,10400,13000,15600,18200,20800,23400,26000,28600
2.7,5400,8100,10800,13500,16200,18900,21600,24300,27000,29700
2.8,5600,8400,11200,14000,16800,19600,22400,25200,28000,30800
2.9,5800,8700,11600,14500,17400,20300,23200,26100,29000,31900
3,6000,9000,12000,15000,18000,21000,24000,27000,30000,33000
3.1,6200,9300,12400,15500,18600,21700,24800,27900,31000,34100
3.2,6400,9600,12800,16000,19200,22400,25600,28800,32000,35200
3.3,6600,9900,13200,16500,19800,23100,26400,29700,33000,36300
3.4,6800,10200,13600,17000,20400,23800,27200,30600,34000,37400
3.5,7000,10500,14000,17500,21000,24500,28000,31500,35000,38500
3.6,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600
3.7,7400,11100,14800,18500,22200,25900,29600,33300,37000,40700
3.8,7600,11400,15200,19000,22800,26600,30400,34200,38000,41800
3.9,7800,11700,15600,19500,23400,27300,31200,35100,39000,42900
4,8000,12000,16000,20000,24000,28000,32000,36000,40000,44000
4.1,8200,12300,16400,20500,24600,28700,32800,36900,41000,45100
4.2,8400,12600,16800,21000,25200,29400,33600,37800,42000,46200
4.3,8600,12900,17200,21500,25800,30100,34400,38700,43000,47300
4.4,8800,13200,17600,22000,26400,30800,35200,39600,44000,48400
4.5,9000,13500,18000,22500,27000,31500,36000,40500,45000,49500
4.6,9200,13800,18400,23000,27600,32200,36800,41400,46000,50600
4.7,9400,14100,18800,23500,28200,32900,37600,42300,47000,51700
4.8,9600,14400,19200,24000,28800,33600,38400,43200,48000,52800
4.9,9800,14700,19600,24500,29400,34300,39200,44100,49000,53900
5,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000
5.1,10200,15300,20400,25500,30600,35700,40800,45900,51000,56100
5.2,10400,15600,20800,26000,31200,36400,41600,46800,52000,57200
5.3,10600,15900,21200,26500,31800,37100,42400,47700,53000,58300
