plant,Watermelon
variant_title,5.25x Fusion Mutation Watermelon ALL Damage Numbers
multiplier,5.25

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,5250,7875,10500,13125,15750,18375,21000,23625,26250,28875
1.1,5775,8662.5,11550,14437.5,17325,20212.5,23100,25987.5,28875,31762.5
1.2,6300,9450,12600,15750,18900,22050,25200,28350,31500,34650
1.3,6825,10237.5,13650,17062.5,20475,23887.5,27300,30712.5,34125,37537.5
1.4,7350,11025,14700,18375,22050,25725,29400,33075,36750,40425
1.5,7875,11812.5,15750,19687.5,23625,27562.5,31500,35437.5,39375,43312.5
1.6,8400,12600,16800,21000,25200,29400,33600,37800,42000,46200
1.7,8925,13387.5,17850,22312.5,26775,31237.5,35700,40162.5,44625,49087.5
1.8,9450,14175,18900,23625,28350,33075,37800,42525,47250,51975
1.9,9975,14962.5,19950,24937.5,29925,34912.5,39900,44887.5,49875,54862.5
2,10500,15750,21000,26250,31500,36750,42000,47250,52500,57750
2.1,11025,16537.5,22050,27562.5,33075,38587.5,44100,49612.5,55125,60637.5
2.2,11550,17325,23100,28875,34650,40425,46200,51975,57750,63525
2.3,12075,18112.5,24150,30187.5,36225,42262.5,48300,54337.5,60375,66412.5
2.4,12600,18900,25200,31500,37800,44100,50400,56700,63000,69300
2.5,13125,19687.5,26250,32812.5,39375,45937.5,52500,59062.5,65625,72187.5
2.6,13650,20475,27300,34125,40950,47775,54600,61425,68250,75075
2.7,14175,21262.5,28350,35437.5,42525,49612.5,56700,63787.5,70875,77962.5
2.8,14700,22050,29400,36750,44100,51450,58800,66150,73500,80850
2.9,15225,22837.5,30450,38062.5,45675,53287.5,60900,68512.5,76125,83737.5
3,15750,23625,31500,39375,47250,55125,63000,70875,78750,86625
3.1,16275,24412.5,32550,40687.5,48825,56962.5,65100,73237.5,81375,89512.5
3.2,16800,25200,33600,42000,50400,58800,67200,75600,84000,92400
3.3,17325,25987.5,34650,43312.5,51975,60637.5,69300,77962.5,86625,95287.5
3.4,17850,26775,35700,44625,53550,62475,71400,80325,89250,98175
3.5,18375,27562.5,36750,45937.5,55125,64312.5,73500,82687.5,91875,101062.5
3.6,18900,28350,37800,47250,56700,66150,75600,85050,94500,103950
3.7,19425,29137.5,38850,48562.5,58275,67987.5,77700,87412.5,97125,106837.5
3.8,19950,29925,39900,49875,59850,69825,79800,89775,99750,109725
3.9,20475,30712.5,40950,51187.5,61425,71662.5,81900,92137.5,102375,112612.5
4,21000,31500,42000,52500,63000,73500,84000,94500,105000,115500
4.1,21525,32287.5,43050,53812.5,64575,75337.5,86100,96862.5,107625,118387.5
4.2,22050,33075,44100,55125,66150,77175,88200,99225,110250,121275
4.3,22575,33862.5,45150,56437.5,67725,79012.5,90300,101587.5,112875,124162.5
4.4,23100,34650,46200,57750,69300,80850,92400,103950,115500,127050
4.5,23625,35437.5,47250,59062.5,70875,82687.5,94500,106312.5,118125,129937.5
4.6,24150,36225,48300,60375,72450,84525,96600,108675,120750,132825
4.7,24675,37012.5,49350,61687.5,74025,86362.5,98700,111037.5,123375,135712.5
4.8,25200,37800,50400,63000,75600,88200,100800,113400,126000,138600
4.9,25725,38587.5,51450,64312.5,77175,90037.5,102900,115762.5,128625,141487.5
5,26250,39375,52500,65625,78750,91875,105000,118125,131250,144375
5.1,26775,40162.5,53550,66937.5,80325,93712.5,107100,120487.5,133875,147262.5
5.2,27300,40950,54600,68250,81900,95550,109200,122850,136500,150150
5.3,27825,41737.5,55650,69562.5,83475,97387.5,111300,125212.5,139125,153037.5
5.4,28350,42525,56700,70875,85050,99225,113400,127575,141750,155925
5.5,28875,43312.5,57750,72187.5,86625,101062.5,115500,129937.5,144375,158812.5
5.6,29400,44100,58800,73500,88200,102900,117600,132300,147000,161700
5.7,29925,44887.5,59850,74812.5,89775,104737.5,119700,134662.5,149625,164587.5
5.8,30450,45675,60900,76125,91350,106575,121800,137025,152250,167475
5.9,30975,46462.5,61950,77437.5,92925,108412.5,123900,139387.5,154875,170362.5
6,31500,47250,63000,78750,94500,110250,126000,141750,157500,173250
6.1,32025,48037.5,64050,80062.5,96075,112087.5,128100,144112.5,160125,176137.5
6.2,32550,48825,65100,81375,97650,113925,130200,146475,162750,179025
6.3,33075,49612.5,66150,82687.5,99225,115762.5,132300,148837.5,165375,181912.5
6.4,33600,50400,67200,84000,100800,117600,134400,151200,168000,184800
6.5,34125,51187.5,68250,85312.5,102375,119437.5,136500,153562.5,170625,187687.5
6.6,34650,51975,69300,86625,103950,121275,138600,155925,173250,190575
6.7,35175,52762.5,70350,87937.5,105525,123112.5,140700,158287.5,175875,193462.5
6.8,35700,53550,71400,89250,107100,124950,142800,160650,178500,196350
6.9,36225,54337.5,72450,90562.5,108675,126787.5,144900,163012.5,181125,199237.5
7,36750,55125,73500,91875,110250,128625,147000,165375,183750,202125
7.1,37275,55912.5,74550,93187.5,111825,130462.5,149100,167737.5,186375,205012.5
7.2,37800,56700,75600,94500,113400,132300,151200,170100,189000,207900
7.3,38325,57487.5,76650,95812.5,114975,134137.5,153300,172462.5,191625,210787.5
7.4,38850,58275,77700,97125,116550,135975,155400,174825,194250,213675
7.5,39375,59062.5,78750,98437.5,118125,137812.5,157500,177187.5,196875,216562.5
7.6,39900,59850,79800,99750,119700,139650,159600,179550,199500,219450
7.7,40425,60637.5,80850,101062.5,121275,141487.5,161700,181912.5,202125,222337.5
7.8,40950,61425,81900,102375,122850,143325,163800,184275,204750,225225
7.9,41475,62212.5,82950,103687.5,124425,145162.5,165900,186637.5,207375,228112.5
8,42000,63000,84000,105000,126000,147000,168000,189000,210000,231000
8.1,42525,63787.5,85050,106312.5,127575,148837.5,170100,191362.5,212625,233887.5
8.2,43050,64575,86100,107625,129150,150675,172200,193725,215250,236775
8.3,43575,65362.5,87150,108937.5,130725,152512.5,174300,196087.5,217875,239662.5
8.4,44100,66150,88200,110250,132300,154350,176400,198450,220500,242550
8.5,44625,66937.5,89250,111562.5,133875,156187.5,178500,200812.5,223125,245437.5
8.6,45150,67725,90300,112875,135450,158025,180600,203175,225750,248325
8.7,45675,68512.5,91350,114187.5,137025,159862.5,182700,205537.5,228375,251212.5
8.8,46200,69300,92400,115500,138600,161700,184800,207900,231000,254100
8.9,46725,70087.5,93450,116812.5,140175,163537.5,186900,210262.5,233625,256987.5
9,47250,70875,94500,118125,141750,165375,189000,212625,236250,259875
9.1,47775,71662.5,95550,119437.5,143325,167212.5,191100,214987.5,238875,262762.5
9.2,48300,72450,96600,120750,144900,169050,193200,217350,241500,265650
9.3,48825,73237.5,97650,122062.5,146475,170887.5,195300,219712.5,244125,268537.5
9.4,49350,74025,98700,123375,148050,172725,197400,222075,246750,271425
9.5,49875,74812.5,99750,124687.5,149625,174562.5,199500,224437.5,249375,274312.5
9.6,50400,75600,100800,126000,151200,176400,201600,226800,252000,277200
9.7,50925,76387.5,101850,127312.5,152775,178237.5,203700,229162.5,254625,280087.5
9.8,51450,77175,102900,128625,154350,180075,205800,231525,257250,282975
9.9,51975,77962.5,103950,129937.5,155925,181912.5,207900,233887.5,259875,285862.5
10,52500,78750,105000,131250,157500,183750,210000,236250,262500,288750
10.1,53025,79537.5,106050,132562.5,159075,185587.5,212100,238612.5,265125,291637.5
10.2,53550,80325,107100,133875,160650,187425,214200,240975,267750,294525
10.3,54075,81112.5,108150,135187.5,162225,189262.5,216300,243337.5,270375,297412.5
10.4,54600,81900,109200,136500,163800,191100,218400,245700,273000,300300
10.5,55125,82687.5,110250,137812.5,165375,192937.5,220500,248062.5,275625,303187.5
10.6,55650,83475,111300,139125,166950,194775,222600,250425,278250,306075
