plant,Watermelon
variant_title,(5x) Neon Watermelon ALL Damage Numbers
multiplier,5.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,5000,7500,10000,12500,15000,17500,20000,22500,25000,27500
1.1,5500,8250,11000,13750,16500,19250,22000,24750,27500,30250
1.2,6000,9000,12000,15000,18000,21000,24000,27000,30000,33000
1.3,6500,9750,13000,16250,19500,22750,26000,29250,32500,35750
1.4,7000,10500,14000,17500,21000,24500,28000,31500,35000,38500
1.5,7500,11250,15000,18750,22500,26250,30000,33750,37500,41250
1.6,8000,12000,16000,20000,24000,28000,32000,36000,40000,44000
1.7,8500,12750,17000,21250,25500,29750,34000,38250,42500,46750
1.8,9000,13500,18000,22500,27000,31500,36000,40500,45000,49500
1.9,9500,14250,19000,23750,28500,33250,38000,42750,47500,52250
2,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000
2.1,10500,15750,21000,26250,31500,36750,42000,47250,52500,57750
2.2,11000,16500,22000,27500,33000,38500,44000,49500,55000,60500
2.3,11500,17250,23000,28750,34500,40250,46000,51750,57500,63250
2.4,12000,18000,24000,30000,36000,42000,48000,54000,60000,66000
2.5,12500,18750,25000,31250,37500,43750,50000,56250,62500,68750
2.6,13000,19500,26000,32500,39000,45500,52000,58500,65000,71500
2.7,13500,20250,27000,33750,40500,47250,54000,60750,67500,74250
2.8,14000,21000,28000,35000,42000,49000,56000,63000,70000,77000
2.9,14500,21750,29000,36250,43500,50750,58000,65250,72500,79750
3,15000,22500,30000,37500,45000,52500,60000,67500,75000,82500
3.1,15500,23250,31000,38750,46500,54250,62000,69750,77500,85250
3.2,16000,24000,32000,40000,48000,56000,64000,72000,80000,88000
3.3,16500,24750,33000,41250,49500,57750,66000,74250,82500,90750
3.4,17000,25500,34000,42500,51000,59500,68000,76500,85000,93500
3.5,17500,26250,35000,43750,52500,61250,70000,78750,87500,96250
3.6,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000
3.7,18500,27750,37000,46250,55500,64750,74000,83250,92500,101750
3.8,19000,28500,38000,47500,57000,66500,76000,85500,95000,104500
3.9,19500,29250,39000,48750,58500,68250,78000,87750,97500,107250
4,20000,30000,40000,50000,60000,70000,80000,90000,100000,110000
4.1,20500,30750,41000,51250,61500,71750,82000,92250,102500,112750
4.2,21000,31500,42000,52500,63000,73500,84000,94500,105000,115500
4.3,21500,32250,43000,53750,64500,75250,86000,96750,107500,118250
4.4,22000,33000,44000,55000,66000,77000,88000,99000,110000,121000
4.5,22500,33750,45000,56250,67500,78750,90000,101250,112500,123750
4.6,23000,34500,46000,57500,69000,80500,92000,103500,115000,126500
4.7,23500,35250,47000,58750,70500,82250,94000,105750,117500,129250
4.8,24000,36000,48000,60000,72000,84000,96000,108000,120000,132000
4.9,24500,36750,49000,61250,73500,85750,98000,110250,122500,134750
5,25000,37500,50000,62500,75000,87500,100000,112500,125000,137500
5.1,25500,38250,51000,63750,76500,89250,102000,114750,127500,140250
5.2,26000,39000,52000,65000,78000,91000,104000,117000,130000,143000
5.3,26500,39750,53000,66250,79500,92750,106000,119250,132500,145750
5.4,27000,40500,54000,67500,81000,94500,108000,121500,135000,148500
5.5,27500,41250,55000,68750,82500,96250,110000,123750,137500,151250
5.6,28000,42000,56000,70000,84000,98000,112000,126000,140000,154000
5.7,28500,42750,57000,71250,85500,99750,114000,128250,142500,156750
5.8,29000,43500,58000,72500,87000,101500,116000,130500,145000,159500
5.9,29500,44250,59000,73750,88500,103250,118000,132750,147500,162250
6,30000,45000,60000,75000,90000,105000,120000,135000,150000,165000
6.1,30500,45750,61000,76250,91500,106750,122000,137250,152500,167750
6.2,31000,46500,62000,77500,93000,108500,124000,139500,155000,170500
6.3,31500,47250,63000,78750,94500,110250,126000,141750,157500,173250
6.4,32000,48000,64000,80000,96000,112000,128000,144000,160000,176000
6.5,32500,48750,65000,81250,97500,113750,130000,146250,162500,178750
